WKT,kenyaopendata:Acreage,kenyaopendata:Acreage per enrolment,kenyaopendata:Boys Toilets,kenyaopendata:Code,kenyaopendata:Costituency,kenyaopendata:Day or Boarding,kenyaopendata:District,kenyaopendata:Division,kenyaopendata:GOK TSC Female,kenyaopendata:GOK TSC Male,kenyaopendata:Girls Toilets,kenyaopendata:Girls/Boys/Mixed,kenyaopendata:Level of Education,kenyaopendata:Local Authority Female,kenyaopendata:Local Authority Female Teachers,kenyaopendata:Local Authority Male,kenyaopendata:Local Authority Male Teachers,kenyaopendata:Location,kenyaopendata:Non Teaching Staff Female,kenyaopendata:Non Teaching Staff Male,kenyaopendata:Non-Teaching Staff Female,kenyaopendata:Non-Teaching Staff Male,kenyaopendata:Ordinary or Special,kenyaopendata:Other Female Teachers,kenyaopendata:Other Male Teachers,kenyaopendata:Others Female,kenyaopendata:Others Male,kenyaopendata:PTA BOG Female,kenyaopendata:PTA BOG Male,kenyaopendata:PTA Board of Governors Female Teacher,kenyaopendata:PTA Board of Governors Male Teacher,kenyaopendata:Province,kenyaopendata:Public or Private,kenyaopendata:Pupil Classroom Ratio,kenyaopendata:Pupil Teacher Ratio,kenyaopendata:Pupil Toilet Ratio,kenyaopendata:School Address,kenyaopendata:School Institution Type_1,kenyaopendata:School Institution Type_2,kenyaopendata:School Institution Type_3,kenyaopendata:School Sponsor,kenyaopendata:School Zone,kenyaopendata:Sponsor of School,kenyaopendata:Status of School,kenyaopendata:Sublocation,kenyaopendata:TSC Female Teachers,kenyaopendata:TSC Male Teachers,kenyaopendata:Teachers Toilets,kenyaopendata:Total Boys,kenyaopendata:Total Enrolment,kenyaopendata:Total Enrolment 2007,kenyaopendata:Total Girls,kenyaopendata:Total Number of Classrooms,kenyaopendata:Total Teaching staff,kenyaopendata:Total Toilets,kenyaopendata:official_name,osm:_timestamp,osm:_user,osm:accessibility,osm:addr:city,osm:addr:postcode,osm:addr:street,osm:amenity,osm:boundary_type:Constituency_boundary,osm:boundary_type:Ward_boundary,osm:building,osm:building:blocks,osm:building:classroom,osm:building:classrooms,osm:building:levels,osm:building:material,osm:building:roof,osm:condition,osm:contact:address,osm:contact:email,osm:contact:phone,osm:contact:website,osm:designation,osm:education:accessibility,osm:education:boarding,osm:education:bom_employed,osm:education:bom_how_many,osm:education:committees,osm:education:curriculum,osm:education:description,osm:education:exam_affiliate,osm:education:exam_center,osm:education:extra_drama,osm:education:extra_music,osm:education:extra_other,osm:education:extra_scouts,osm:education:extra_sports,osm:education:fees,osm:education:fees_admission,osm:education:fees_exam,osm:education:fees_level,osm:education:fees_level1,osm:education:fees_level2,osm:education:fees_level3,osm:education:fees_level4,osm:education:fees_level5,osm:education:fees_level6,osm:education:fees_lunch,osm:education:fees_optional,osm:education:fees_other,osm:education:fees_others,osm:education:fees_per_year,osm:education:fees_sponsored,osm:education:fees_trip,osm:education:gender_type,osm:education:government_grants,osm:education:government_registered,osm:education:male,osm:education:management_commitee,osm:education:management_committee,osm:education:mean_score,osm:education:nemis_code,osm:education:num_classes,osm:education:operate_as,osm:education:other,osm:education:parents_teachers_association,osm:education:program_WASH,osm:education:program_computers,osm:education:program_counseling,osm:education:program_counselling,osm:education:program_description,osm:education:program_feeding,osm:education:program_feeding_description,osm:education:program_handwashing,osm:education:program_orphans,osm:education:program_other,osm:education:program_rain,osm:education:program_sanitary_towel,osm:education:program_scouting,osm:education:program_special_needs,osm:education:program_specialneeds,osm:education:program_sports,osm:education:pta,osm:education:sanitary_towel_distribution,osm:education:school_head,osm:education:special_needs,osm:education:staff_female,osm:education:staff_male,osm:education:student_age_range,osm:education:student_disable,osm:education:student_female,osm:education:student_male,osm:education:students,osm:education:students_female,osm:education:students_male,osm:education:supported_by,osm:education:teachers,osm:education:teachers_female,osm:education:teachers_male,osm:education:teachers_trained,osm:education:teachers_tsc,osm:education:teachers_tsc_registered,osm:education:teachers_under_going_training,osm:education:teachers_undergoing_training,osm:education:teachers_untrained,osm:education:tsc_employed,osm:education:tsc_how_many,osm:education:type,osm:electricity:operational_status,osm:electricity_operational_status,osm:health_facility:referals,osm:id,osm:image,osm:image:classroom,osm:image:compound,osm:image:other,osm:image:outside,osm:image:sign_post,osm:is_in:constituency,osm:is_in:estate,osm:is_in:village,osm:is_in:ward,osm:leisure,osm:location,osm:media:camera_device_number,osm:media:camera_number,osm:media:video_device_number,osm:media:video_number,osm:medical_staff:counsellor,osm:medical_staff:description,osm:name,osm:official_name,osm:opening_hours,osm:operational_status,osm:operational_status:electricity,osm:operator,osm:operator:description,osm:operator:funding,osm:operator:name,osm:operator:type,osm:operator_type,osm:place:village,osm:playground,osm:playground:arranged_name,osm:polling_station,osm:polling_station:accessibility,osm:polling_station:election_year,osm:polling_station:nearest_health_centre,osm:polling_station:nearest_police_station,osm:polling_station:registered_voters,osm:polling_station:source,osm:polling_station:type,osm:polling_station:type_description,osm:registered_voters,osm:security:gbv_support,osm:source,osm:toilet:arranged_name,osm:toilet:present,osm:toilet:teachers,osm:toilets,osm:toilets:female,osm:toilets:for:female,osm:toilets:for:male,osm:toilets:for:teacher,osm:toilets:handwashing,osm:toilets:male,osm:toilets:teachers,osm:water:source,osm:water_source,osm:website
"MULTIPOINT ((36.79883 -1.310468))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/02/15,Peter Agenga,big_vehicles,,,,school,,,,,,,"1",concrete,iron_sheet,,"P O Box 56979 - 00200, Nairobi",,"0722699646",,,,,,,,8_4_4,,,yes,yes,yes,,yes,yes,"0",,,,,,,,,,,,,,,,,mixed,,moe,,,yes,,,,,,,,,,yes,,fees,,,,,,yes,,,,,yes,,,,,,,,,,"1000",,,,"26","20","6","26",,,,,,"24",,primary,often,,,node/478551902,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Shadrack%20Kimalel%20Primary%20School/classroom.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Shadrack%20Kimalel%20Primary%20School/compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Shadrack%20Kimalel%20Primary%20School/other.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Shadrack%20Kimalel%20Primary%20School/outside.JPG,,,,,,,kibera,,,,,,,Shadrack Kimalel Primary School,,,,often,,,,Government,government,,Golf Course,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
"MULTIPOINT ((36.793287 -1.313207))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021/10/02,fondolucy,foot,,,,school,,,,,,,"1",iron_sheet,iron_sheet,,"P O Box 19443 -00100, Nairobi",drugfighters@yahoo.com,"0722557735",,,,yes,no,,,8_4_4,,,yes,yes,yes,,yes,yes,,"500","100",,"5400","5400","6300",,,,,,"All the rest are inclusive in the general fee payment, with exam its per exam",,,,,mixed,,mgcsd,,,yes,,,,,,,,,yes,yes,,fees,,,yes,Boarding,,yes,,yes,,yes,yes,,,,,,,,,,"230","112","118",,"14","10","4","13",,"4","1",,"0",no,,primary,often,,,node/612007086,,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Drug%20Rescue%20Center/building.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Drug%20Rescue%20Center/gate.JPG,,,,,,,kibera,,,,,,,Bridge of Hope Educational Centre,,,operational,sometimes,,Bridge of Hope,,,cbo,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
"MULTIPOINT ((36.780559 -1.313232),(36.779531 -1.310756))",,,"14",,LANGATA,,NAIROBI,KIBERA,"23","9","9",,PRIMARY SCHOOL,"0",,"0",,SERA NGOMBE,,,"1","3",,,,"0","0","0","0",,,NAIROBI,,"77.1","79.5","110.7",,MIXED,DAY ONLY,ORDINARY,,,LOCAL GOVERNMENT AUTHORITY,PUBLIC,,,,"2","1233","2545",,"1312","33",,"0",OLYMPIC PRI SCH,2022/02/15,Peter Agenga,big_vehicles,,,,school,,,,,,,"2",cement_block,iron_sheet,,"P.O Box 21461-00505, Nairobi",olympicprimary@yahoo.com,"0711744212",,,,,,,,8_4_4,,,yes,yes,yes,,yes,yes,"0",,,,,,,,,,,Feeding 650,,,,,,mixed,,moe,,,yes,,,,,,,,,,yes,,sponsored,,,,,,yes,,,,,yes,,Mr.Caleb Ochieng,,,,,,,,"4212","2194","2018",,"60","34","26","43",,,,,,"43",,primary,often,,,node/612007152,https://farm3.staticflickr.com/2742/4089244916_b11b3c7a1f_o.jpg,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Olympic%20Primary/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Olympic%20Primary/compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Olympic%20Primary/IMG_0192gate.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Jacob/Olympic%20Primary/sign%20post.JPG,,,,,,,kibera,,,,,,,Olympic Primary School,OLYMPIC PRI SCH,,,,,School is run by government,,Government,government,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
"MULTIPOINT ((36.788217 -1.311055),(36.788968 -1.30724))",,,"2",,LANGATA,,NAIROBI,KIBERA,"0","0","2",,PRIMARY SCHOOL,"0",,"0",,KIBERA,,,"0","2",,,,"4","4","0","0",,,NAIROBI,,"24.5","24.5","49",,MIXED,BOARDING ONLY,ORDINARY,,,PRIVATE INDIVIDUAL,PRIVATE,,,,"1","0","196",,"0","8",,"0",HURUMA KIBERA PRI. SCH,2015/01/03,JamesLC,,,,,school,,,,,,,,,,,,,,,,,,,,,,"Funded. Has Nursery,Secondary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,node/612007263,,,,,,,,,,,,kibera,,,,,,,Kibera Academy,HURUMA KIBERA PRI. SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.794257 -1.314699))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021/09/22,fondolucy,foot,,,,school,,,,,,,,mud,iron_sheet,,,makamunancy@gmail.com,"0721641839",,,,,no,,,8_4_4,,,,,,,,,yes,,,,,"1800",,,,,,,,,"5400",,,mixed,,mgcsd,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,Mama Lucy,,,,,,,,"84","39","45",,"2","4","0","2",,,"2",,,no,,pre_primary,often,,,node/612007264,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Kambi%20Muru%20PAG%20Assembly%20School/Classroom.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Kambi%20Muru%20PAG%20Assembly%20School/Compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Kambi%20Muru%20PAG%20Assembly%20School/Sign.JPG,,,,,,,kibera,,,,,,,Kambi Muru Tenderlets CBO School,,,,,,PAG Church,,,religious,,Kambi Muru,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
"MULTIPOINT ((36.790659 -1.312046))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022/02/15,Peter Agenga,big_vehicles,,,,school,,,,,,,,iron_sheet,iron_sheet,,P.O Box 76153-00508,fmuzaya@yahoo.com,"0716583975",,,,,,,,8_4_4,,,,yes,yes,,yes,yes,,,,,,,,,,,,,,,,yes,,mixed,,mgcsd,,,yes,,,,,,,,,,yes,,yes,,,yes,,,yes,,,,,,,,,,,5-14yrs,,,,"542","283","259",,"21","10","11",,,,,,,,,primary,always,,,node/612007279,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Mashimoni%20Squaters%20Primary%20School/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Mashimoni%20Squaters%20Primary%20School/compound.JPG,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Schools%20Steve/Mashimoni%20Squaters%20Primary%20School/sign%20post.JPG,,,,,,,kibera,,,"3","16",,,Mashimoni Squatters Primary School,,08:00-17:00,operational,,,The school runs under AIC church in partnership with the foundation,,Balcraig Foundation,ngo,,Kambi Muru,,,,,,,,,,,,,,map_kibera_trust,,yes,,,,,,,,,,,,
"MULTIPOINT ((36.790285 -1.31506))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021/08/31,fondolucy,foot,,,,school,,,,,,,"1",iron_sheet,iron_sheet,,,,,,,,,,,,8_4_4,,,,,,,,,"4500",,,,,,,,,,,,,,,,,mixed,,mgcsd,,,yes,,,,,,,,,,,,fees,,,,,,,,,,,,,,,,,,,,,"121","67","54",,"4","4","0","1",,,,,,,,pre_primary,often,,,node/612007401,,,,,,,,,,,,kibera,,,,,,,Lindi Ushirika Nursery School,,,,,,,,Lindi Ushirika,ngo,,Lindi,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
"MULTIPOINT ((36.790573 -1.315097))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021/11/01,muindre,big_vehicles,,,,school,,,,,,"2","2","wood,iron_sheet,concrete",iron_sheet,,"P O Box 8109 - 00200, Nairobi",tombeatricejeny@gmail.com,"0712658876",,,,,yes,"8",,2_6_3_3_3,,,no,yes,yes,none,yes,yes,yes,"500","900",,"4500","9900",,,,,"0",,,100 for porridge,"4500",,"0",mixed,no,mgcsd,,,yes,"0",yes,,day_school,,,,,,yes,,yes,school_fees,,yes,,,no,,yes,,,yes,,James Oluhano Otieno,,,,,,,,"79","34","45",,"2","2","0","2",,,,,,"0",,pre_primary,never,,,node/612007406,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1583918312771.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1583918272137.jpg,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Saviour%20Kings%20Academy/Douglas.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Saviour%20Kings%20Academy/sign%20post.JPG,,,,,,,kibera,,,,,,,Saviour King Academy,,,,,,Thomas jeny,,Garden Of Eden,private,,Lindi,,,,,,,,,,,,,,,,yes,"3",,"8",,,,yes,"8",,,water_tank,
"MULTIPOINT ((36.795035 -1.314627))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021/08/31,fondolucy,foot,,,,school,,,,,,,"0",iron_sheet,iron_sheet,,"P O Box 19776 -00100, Nairobi",,"0719875501",,,,,,,,8_4_4,,Sloam Secondary,,yes,,,,yes,"12500",,,,,,,,,,,lunch_1500,,,,,,mixed,,,,,,,,,,,,,,,yes,,yes,,,,,,,,,,,yes,,,,,,,,,,"62","31","31",,"7","1","6","1",,,,,,,,secondary,often,,,node/612007412,,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Rudolf%20High%20School/class.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Rudolf%20High%20School/compound.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Rudolf%20High%20School/gate.JPG,https://0079f04f78208eb6dbf00f4be735c0a32d71c3ad.googledrive.com/host/0B8cIVKWxH2-6Ynk0MDZJUnNpdUU/Joshua/Schools/Rudolf%20High%20School/sign%20post.JPG,,,,,,,kibera,,,,,,,Rudolf High School (Closed),,,,,,,,Paul Ndolo,private,,Lindi,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
"MULTIPOINT ((36.794168 -1.313826),(36.789482 -1.312411))",,,"1",,LANGATA,,NAIROBI,KIBERA,"0","0","1",,PRIMARY SCHOOL,"0",,"0",,KIBERA,,,"0","0",,,,"8","1","0","0",,,NAIROBI,,"23","17.9","80.5",,MIXED,DAY ONLY,ORDINARY,,,NGO/CBO,PRIVATE,,,,"1","0","161",,"0","7",,"0",LINDI USHIRIKA WA USAFI NA MAENDELEO-PRI SCH,2021/08/31,fondolucy,foot,,,,school,,,,,,,"1",iron_sheet,iron_sheet,,"P O Box 7083-00200, Nairobi",,"0710895928",,,,,,,,8_4_4,,,,,,,,,"2700",,,,,,,,,,,,,,,,,mixed,,mgcsd,,,yes,,,,,,,,,yes,,,fees,,,yes,,,,,,,yes,,,,,"2","2",3-14yrs,,,,"270","200","70",,"7","5","2","3",,,,,"4",,,primary,often,,,node/612007413,,,,,,,,,,,,kibera,,,"8","11",,,Lindi Ushirika Primary,LINDI USHIRIKA WA USAFI NA MAENDELEO-PRI SCH,Mo-Fr 07:00-15:00,operational,never,,,,Lindi Ushirika,cbo,,Lindi,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
