WKT,osm:_timestamp,osm:_user,osm:accessibility,osm:addr:city,osm:addr:postcode,osm:addr:street,osm:amenity,osm:barrier,osm:barrier:gate,osm:barrier:security_fence,osm:building:blocks,osm:building:classrooms,osm:building:levels,osm:building:library,osm:building:material,osm:building:roof,osm:condition,osm:contact,osm:contact:,osm:contact:address,osm:contact:email,osm:contact:mobile,osm:contact:person,osm:contact:phone,osm:education:admission_fee,osm:education:board_of_management,osm:education:boarding,osm:education:bom,osm:education:bom_employed,osm:education:bom_how_many,osm:education:committees,osm:education:curriculum,osm:education:exam_affiliate,osm:education:exam_center,osm:education:exam_fee,osm:education:extra_agriculture_club,osm:education:extra_drama,osm:education:extra_music,osm:education:extra_nature_club,osm:education:extra_other,osm:education:extra_scouts,osm:education:extra_scouts/girl_guide,osm:education:extra_scouts:girl_guide,osm:education:extra_sports,osm:education:extra_woodwork,osm:education:fees,osm:education:fees_admission,osm:education:fees_exam,osm:education:fees_level,osm:education:fees_level1,osm:education:fees_level2,osm:education:fees_level3,osm:education:fees_level4,osm:education:fees_level5,osm:education:fees_level6,osm:education:fees_lunch,osm:education:fees_optional,osm:education:fees_other,osm:education:fees_per_term,osm:education:fees_per_year,osm:education:fees_sponsored,osm:education:fees_trip,osm:education:funding,osm:education:gender_type,osm:education:government_grants,osm:education:government_registered,osm:education:government_registered_which_ministry,osm:education:how_many,osm:education:lunch_fee,osm:education:management_committee,osm:education:mean,osm:education:mean_score,osm:education:nemis_code,osm:education:ntsa_approved_teachers,osm:education:num_classes,osm:education:operate_as,osm:education:operator,osm:education:other,osm:education:parents_teachers_association,osm:education:program_counselling,osm:education:program_feeding,osm:education:program_feeding_description,osm:education:program_feeding_description_1,osm:education:program_feeding_description_2,osm:education:program_orphans,osm:education:program_other,osm:education:program_sanitary_towel,osm:education:program_special_needs,osm:education:pta,osm:education:sanitary_towel,osm:education:sanitary_towel_distribution,osm:education:school_head,osm:education:special_needs,osm:education:sponsored_by,osm:education:sports,osm:education:student_female,osm:education:student_male,osm:education:students,osm:education:students_female,osm:education:students_male,osm:education:supported_by,osm:education:teachers,osm:education:teachers_female,osm:education:teachers_male,osm:education:teachers_trained,osm:education:teachers_tsc_registered,osm:education:teachers_under_going_training,osm:education:teachers_undergoing_training,osm:education:teachers_untrained,osm:education:trip_fee,osm:education:tsc_employ,osm:education:tsc_employed,osm:education:tsc_how_many,osm:education:type,osm:education:type_of_vocational_school,osm:education:which_ministry,osm:educations:sponsored_by,osm:electricity:operational_status,osm:government:registered,osm:government:registered_1,osm:government:registered_3,osm:id,osm:image,osm:image:classroom,osm:image:compound,osm:image:outside,osm:image:sign_post,osm:internet_access,osm:is_in:constituency,osm:is_in:estate,osm:is_in:village,osm:is_in:ward,osm:isced:level,osm:laboratory,osm:laboratory:equipment,osm:leisure,osm:level,osm:location,osm:name,osm:name:en,osm:operational_status:electricity,osm:operator,osm:operator:description,osm:operator:funding,osm:operator:name,osm:operator:type,osm:operator_type,osm:place:village,osm:playground,osm:playground:arranged_name,osm:polling_station:accessibility,osm:polling_station:election_year,osm:polling_station:nearest_health_centre,osm:polling_station:nearest_police_station,osm:polling_station:source,osm:polling_station:type,osm:polling_station:type_description,osm:registered_voters,osm:registration_date,osm:registration_year,osm:room:kitchen,osm:room:staff,osm:source,osm:start_date,osm:station:type_description,osm:toilet:arranged_name,osm:toilet:boys_toilet,osm:toilet:girls_toilet,osm:toilet:present,osm:toilet:teachers,osm:toilets,osm:toilets:female,osm:toilets:handwashing,osm:toilets:male,osm:toilets:teachers,osm:type,osm:waste:garbage_disposal,osm:water:hand_wash_facility,osm:water:source,osm:water:source_of_water,osm:water_source,osm:wikidata
"MULTIPOINT ((36.855636 -1.263054))",2021/10/10,fondolucy,"small_cars,big_vehicles,foot",,,,school,gate,,yes,"1","44","1",yes,cement_block,iron_sheet,,,,"P O Box 77022-00622, Nairobi",mcedocom@gmail.com,,,"0720582199",,,,,,,,8_4_4,,yes,,,no,yes,,,yes,,,yes,,yes,"1000","500",,"1500","1500","1800",,,,"500",,Saturday tuition 100,"1800","14500",,"1000",,mixed,no,moe,,,,yes,,,yes,,,day_school,,,,yes,yes,sponsored,,,yes,enviromental and health club,yes,no,yes,,,Fredrick Sango,,,,,,"110","62","48",foreign_donors,"6","2","4","4","4","2",,"0",,,,,secondary,,,,never,,,,node/1038064486,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626337479440.jpg,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626337582338.jpg,,,,,,,,,,playground,,mathare,MCEDO Secondary School,,,,Private,,MCEDO,private_for_profit,,,,,,,,,,,,,,,yes,yes,,,,,,,yes,"1",,"6",yes,"5","1",,sometimes,,,,water_tank,
"MULTIPOINT ((36.858004 -1.26354))",2019/05/20,fondolucy,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pre_primary,,,,,,,,node/1038064496,,,,,,,,,,,,,,,,mathare,Undugu Mercy Care,,,,,,,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.857715 -1.26546))",2017/10/12,muindre,foot,,,,school,,,,,,"0",,cement_block,concrete,,,,,,,,"0712713352",,,,,,,,8_4_4,,,,,,,,,,,,yes,,"4500",,,,,,,,,,,,,,,,,,mixed,,mgcsd,,,,,,,,,,,,,,,no,,,,,,,,,,,Ann Wambui,,,,,,"24","8","16",,"2","2","0","0",,,,,,,"0",,primary,,,,always,,,,node/1038103774,,,,,,,,,,,,,,,,mathare,Inspiration Baby College,,,,,,Inspiration Centre,religious,,Mathare 3C,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
"MULTIPOINT ((36.860349 -1.262457))",2021/11/18,muindre,"foot,small_cars",,,,school,,,,"2","11","0",,"iron_sheet,concrete,cement_block",iron_sheet,dilapidated,"0717968462",,"P O Box 78105- 00507, Nairobi",am.gumba.nbo@bridge.ac.ke,,,"0717968466",,,,,no,,,"8_4_4,2_6_3_3_3",Sunflower Academy,no,,,yes,no,,,yes,,,no,,yes,"700",,,"7350","10080","14895","8160","8580","8580",,activity fee,"20 shillings per day for food,",,"12180",,,,mixed,no,moe,,,,yes,,"293.2",yes,,"8",day_school,,,,yes,central_feeding,,,,yes,,yes,no,yes,,,Jackline Waswa,,,,,,"136","73","63",,"8","5","3","8","5",,,,,,"0",,primary,,,,never,,,,node/1038103776,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1590411554615.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626167998791.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626168040667.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1626168149206.jpg,,,,,,,,,,,,mathare,Bridge International Academy - Gumba,,,,Bridge International,,Bridge International Academy,private_for_profit,,Gumba,outside_public_arranged,Undugu Polytechnic,,,,,,,,,,,,,,,,,,,yes,"1",,"4",yes,"2",,,,,,,water_tank,
"MULTIPOINT ((36.858105 -1.265215))",2021/11/25,muindre,"small_cars,big_vehicles,foot",,,,school,gate,,yes,"1","8","1",yes,"concrete,cement_block",iron_sheet,,,,62357-00100,abundantlife@gmail.com,,,"0727448259",,,,,,,they are 9,"2_6_3_3_3,8_4_4",Mcedo,no,,,yes,yes,yes,Debate and Science Clubs,no,,yes,yes,,yes,"300","0",,"3000","9000","9000",,,,"0",,,"3500",,,"0",,mixed,no,in_the_process,apbet,,,yes,,"251.5",no,,"8",day_school,,,,yes,no,fees,,,yes,,yes,no,yes,,,Evance Uhuru,,,,,,"137","71","66",local_NGOs,"5","1","4","3","1","1",,"1",,,"0",,primary,,,,always,,,,node/1038103794,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627895614361.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627895644717.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1627895632009.jpg,,,,,,,,,,playground,,mathare,Abundant Life School,,,,Abundant Life School,,,cbo,,Mathare 3C,yes,,,,,,,,,,,,yes,yes,,"2000",,,,,yes,"1",,"5",yes,"2","2",,sometimes,,water_tank,,,
"MULTIPOINT ((36.87438 -1.257228))",2010/12/14,elizabeth kinyua,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node/1038172444,,,,,,,,,,,,,,,,mathare,Heritage academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.852002 -1.264574))",2021/11/24,muindre,,,,,school,,,,,,,,,,good,,,,,"0728567591",ruth mombi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Children's Home,,,,,,,,node/1038193564,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1592718510599.jpg,,,,,,,,,,,,,,,mathare,Good Samaritan Children Home and Rehabilitation Center,,,,,Well wishers,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.861702 -1.25934))",2010/12/14,charles juma,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node/1038202638,,,,,,,,,,,,,,,,mathare,Mathare light school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.863112 -1.256412))",2019/05/09,muindre,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,node/1038202662,,,,,,,,,,,,,,,,mathare,Mercy care Center Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MULTIPOINT ((36.856357 -1.261898))",2020/11/24,muindre,,,,,school,,,,,,,,,,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,,,,,,,,node/1038202671,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1592555344719.jpg,,,,,,,,,,,,,,,mathare,Caso Upendo Primary School,,,,Caso Upendo Organization,China,,cbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
